NAME,DESCRIPTION,TIME SCHEDULE,SPECIFIC TIME ZONE,ORIGINATING DEVICE
R70-WW17-RanchoCucamongaCA-CP-PT,R70-WW17-RanchoCucamongaCA-CP-PT,NULL,Etc/GMT,t
R70-WW17-RanchoCucamongaCA-Xlat-PT,R70-WW17-RanchoCucamongaCA-Xlat-PT,NULL,Etc/GMT,t
R70-WW17-RanchoCucamongaCA-Int-PT,R70-WW17-RanchoCucamongaCA-Int-PT,NULL,Etc/GMT,t
R70-WW17-RanchoCucamongaCA-Lcl-PT,R70-WW17-RanchoCucamongaCA-Lcl-PT,NULL,Etc/GMT,t
R70-WW17-RanchoCucamongaCA-Ld-PT,R70-WW17-RanchoCucamongaCA-Ld-PT,NULL,Etc/GMT,t
R70-WW17-RanchoCucamongaCA-PT,R70-WW17-RanchoCucamongaCA-PT,NULL,Etc/GMT,t
