ROUTE PATTERN,ROUTE PARTITION,DESCRIPTION,NUMBERING PLAN,ROUTE FILTER,MLPP PRECEDENCE,RESOURCE PRIORITY NAMESPACE NETWORK DOMAIN,ROUTE OPTION,TYPE OF RELEASE CAUSE VALUE,CALL CLASSIFICATION,ALLOW DEVICE OVERRIDE,PROVIDE OUTSIDE DIAL TONE,ALLOW OVERLAP SENDING,URGENT PRIORITY,REQUIRE FORCED AUTHORIZATION CODE,AUTHORIZATION LEVEL,REQUIRE CLIENT MATTER CODE,USE CALLING PARTYS EXTERNAL PHONE NUMBER MASK,CALLING PARTY TRANSFORM MASK,PREFIX_DIGITS_CALLING_PARTY,CALLING LINE ID PRESENTATION,CALLING NAME PRESENTATION,CALLING PARTY NUMBER TYPE,CALLING PARTY NUMBERING PLAN,CONNECTED LINE ID PRESENTATION,CONNECTED NAME PRESENTATION,DISCARD DIGITS,CALLED PARTY TRANSFORM MASK,PREFIX_DIGITS_CALLED_PARTY,CALLED PARTY NUMBER TYPE,CALLED PARTY NUMBERING PLAN,ROUTE CLASS,GATEWAY/ROUTE LIST,NETWORK SERVICE PROTOCOL,CARRIER IDENTIFICATION CODE,NETWORK SERVICE,SERVICE PARAMETER VALUE
9.911,  R70-WW35-IndioCA-PT,Indio CA  911 dialing,NULL,NULL,Default,NULL,f,No Error,OffNet,f,t,f,f,f,0,f,On,,,Default,Default,Cisco CallManager,Cisco CallManager,Default,Default,PreDot,,,Cisco CallManager,Cisco CallManager,Default,e911-SIP-RL,,,,
9.711,  R70-WW35-IndioCA-PT,Indio CA  711 dialing,NULL,NULL,Default,NULL,f,No Error,OffNet,f,t,f,f,f,0,f,On,,,Default,Default,Cisco CallManager,Cisco CallManager,Default,Default,PreDot,,,Cisco CallManager,Cisco CallManager,Default,e911-SIP-RL,,,,
