NAME,DESCRIPTION,TYPE OF PARTITION USAGE,ROUTE PARTITION 1,ROUTE PARTITION 2,ROUTE PARTITION 3,ROUTE PARTITION 4,ROUTE PARTITION 5,ROUTE PARTITION 6,ROUTE PARTITION 7,ROUTE PARTITION 8,ROUTE PARTITION 9,ROUTE PARTITION 10,ROUTE PARTITION 11,ROUTE PARTITION 12,ROUTE PARTITION 13,ROUTE PARTITION 14,ROUTE PARTITION 15,ROUTE PARTITION 16,ROUTE PARTITION 17
R70-WW32-SanDiegoCA-Lcl-CSS,R70-WW32-SanDiegoCA-Lcl-CSS,General,R70-WW32-SanDiegoCA-Xlat-PT,R70-WW32-SanDiegoCA-CP-PT,Internal_PT,R70-WW32-SanDiegoCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,R70-WW32-SanDiegoCA-Lcl-PT,,,,,,,,,,
R70-WW32-SanDiegoCA-Ld-CSS,R70-WW32-SanDiegoCA-Ld-CSS,General,R70-WW32-SanDiegoCA-Xlat-PT,R70-WW32-SanDiegoCA-CP-PT,Internal_PT,R70-WW32-SanDiegoCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,SIP-LD-PSTN-PT,R70-WW32-SanDiegoCA-Lcl-PT,R70-WW32-SanDiegoCA-Ld-PT,,,,,,,,
R70-WW32-SanDiegoCA-CSS,R70-WW32-SanDiegoCA-CSS,General,R70-WW32-SanDiegoCA-Xlat-PT,R70-WW32-SanDiegoCA-CP-PT,Internal_PT,R70-WW32-SanDiegoCA-PT,SIP-PSTN-PT,,,,,,,,,,,,
R70-WW32-SanDiegoCA-Int-CSS,R70-WW32-SanDiegoCA-Int-CSS,General,R70-WW32-SanDiegoCA-Xlat-PT,R70-WW32-SanDiegoCA-CP-PT,Internal_PT,R70-WW32-SanDiegoCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,SIP-LD-PSTN-PT,SIP-INTL-PSTN-PT,R70-WW32-SanDiegoCA-Lcl-PT,R70-WW32-SanDiegoCA-Ld-PT,R70-WW32-SanDiegoCA-Int-PT,,,,,,
