NAME,DESCRIPTION,TYPE OF PARTITION USAGE,ROUTE PARTITION 1,ROUTE PARTITION 2,ROUTE PARTITION 3,ROUTE PARTITION 4,ROUTE PARTITION 5,ROUTE PARTITION 6,ROUTE PARTITION 7,ROUTE PARTITION 8,ROUTE PARTITION 9,ROUTE PARTITION 10,ROUTE PARTITION 11,ROUTE PARTITION 12,ROUTE PARTITION 13,ROUTE PARTITION 14,ROUTE PARTITION 15,ROUTE PARTITION 16,ROUTE PARTITION 17
R70-WW20-CitadelCA-Lcl-CSS,R70-WW20-CitadelCA-Lcl-CSS,General,R70-WW20-CitadelCA-Xlat-PT,R70-WW20-CitadelCA-CP-PT,Internal_PT,R70-WW20-CitadelCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,R70-WW20-CitadelCA-Lcl-PT,,,,,,,,,,
R70-WW20-CitadelCA-Ld-CSS,R70-WW20-CitadelCA-Ld-CSS,General,R70-WW20-CitadelCA-Xlat-PT,R70-WW20-CitadelCA-CP-PT,Internal_PT,R70-WW20-CitadelCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,SIP-LD-PSTN-PT,R70-WW20-CitadelCA-Lcl-PT,R70-WW20-CitadelCA-Ld-PT,,,,,,,,
R70-WW20-CitadelCA-CSS,R70-WW20-CitadelCA-CSS,General,R70-WW20-CitadelCA-Xlat-PT,R70-WW20-CitadelCA-CP-PT,Internal_PT,R70-WW20-CitadelCA-PT,SIP-PSTN-PT,,,,,,,,,,,,
R70-WW20-CitadelCA-Int-CSS,R70-WW20-CitadelCA-Int-CSS,General,R70-WW20-CitadelCA-Xlat-PT,R70-WW20-CitadelCA-CP-PT,Internal_PT,R70-WW20-CitadelCA-PT,SIP-PSTN-PT,SIP-LCL-PSTN-PT,SIP-LD-PSTN-PT,SIP-INTL-PSTN-PT,R70-WW20-CitadelCA-Lcl-PT,R70-WW20-CitadelCA-Ld-PT,R70-WW20-CitadelCA-Int-PT,,,,,,
