NAME,DESCRIPTION,TIME SCHEDULE,SPECIFIC TIME ZONE,ORIGINATING DEVICE
R70-WW19-VictorvilleCA-CP-PT,R70-WW19-VictorvilleCA-CP-PT,NULL,Etc/GMT,t
R70-WW19-VictorvilleCA-Xlat-PT,R70-WW19-VictorvilleCA-Xlat-PT,NULL,Etc/GMT,t
R70-WW19-VictorvilleCA-Int-PT,R70-WW19-VictorvilleCA-Int-PT,NULL,Etc/GMT,t
R70-WW19-VictorvilleCA-Lcl-PT,R70-WW19-VictorvilleCA-Lcl-PT,NULL,Etc/GMT,t
R70-WW19-VictorvilleCA-Ld-PT,R70-WW19-VictorvilleCA-Ld-PT,NULL,Etc/GMT,t
R70-WW19-VictorvilleCA-PT,R70-WW19-VictorvilleCA-PT,NULL,Etc/GMT,t
