Device Name,Description,Device Pool,Phone Button Template,CSS,AAR CSS,Location,Directory Number 1,Line Text Label 1,External Phone Number Mask 1,Line Description 1,Alerting Name 1,ASCII Alerting Name 1,Display 1,ASCII Display 1,Directory Number 2,Line Text Label 2,External Phone Number Mask 2,Line Description 2,Alerting Name 2,ASCII Alerting Name 2,Display 2,ASCII Display 2,Directory Number 3,Line Text Label 3,External Phone Number Mask 3,Line Description 3,Alerting Name 3,ASCII Alerting Name 3,Display 3,ASCII Display 3
MACADDRESS,Manager - 7181800,,,,,,7181800,Manager - 7181800,8183519100,Manager - 7181800,Manager - 7181800,Manager - 7181800,Manager - 7181800,Manager - 7181800,,,,,,,,,,,,,,,,
MACADDRESS,Employee 1 - 7181811,,,,,,7181811,Employee 1 - 7181811,8183519100,Employee 1 - 7181811,Employee 1 - 7181811,Employee 1 - 7181811,Employee 1 - 7181811,Employee 1 - 7181811,,,,,,,,,,,,,,,,
MACADDRESS,Employee 2 - 7181812,,,,,,7181812,Employee 2 - 7181812,8183519100,Employee 2 - 7181812,Employee 2 - 7181812,Employee 2 - 7181812,Employee 2 - 7181812,Employee 2 - 7181812,,,,,,,,,,,,,,,,
