NAME,DESCRIPTION,TIME SCHEDULE,SPECIFIC TIME ZONE,ORIGINATING DEVICE
R70-WW04-WestminsterCA-CP-PT,R70-WW04-WestminsterCA-CP-PT,NULL,Etc/GMT,t
R70-WW04-WestminsterCA-Xlat-PT,R70-WW04-WestminsterCA-Xlat-PT,NULL,Etc/GMT,t
R70-WW04-WestminsterCA-Int-PT,R70-WW04-WestminsterCA-Int-PT,NULL,Etc/GMT,t
R70-WW04-WestminsterCA-Lcl-PT,R70-WW04-WestminsterCA-Lcl-PT,NULL,Etc/GMT,t
R70-WW04-WestminsterCA-Ld-PT,R70-WW04-WestminsterCA-Ld-PT,NULL,Etc/GMT,t
R70-WW04-WestminsterCA-PT,R70-WW04-WestminsterCA-PT,NULL,Etc/GMT,t
