NAME,DESCRIPTION,TIME SCHEDULE,SPECIFIC TIME ZONE,ORIGINATING DEVICE
R70-WW16-SantaFeSpringsCA-CP-PT,R70-WW16-SantaFeSpringsCA-CP-PT,NULL,Etc/GMT,t
R70-WW16-SantaFeSpringsCA-Xlat-PT,R70-WW16-SantaFeSpringsCA-Xlat-PT,NULL,Etc/GMT,t
R70-WW16-SantaFeSpringsCA-Int-PT,R70-WW16-SantaFeSpringsCA-Int-PT,NULL,Etc/GMT,t
R70-WW16-SantaFeSpringsCA-Lcl-PT,R70-WW16-SantaFeSpringsCA-Lcl-PT,NULL,Etc/GMT,t
R70-WW16-SantaFeSpringsCA-Ld-PT,R70-WW16-SantaFeSpringsCA-Ld-PT,NULL,Etc/GMT,t
R70-WW16-SantaFeSpringsCA-PT,R70-WW16-SantaFeSpringsCA-PT,NULL,Etc/GMT,t
